mass,sensitivity_-2,sensitivity_-1,sensitivity_0,sensitivity_1,sensitivity_2,upper_limit
10.0,7.057975861413799e-47,1.4608104890852542e-46,3.1646882260557545e-46,5.604570095168291e-46,8.657455770068168e-46,2.058802295232637e-46
10.476157527896646,5.345465803125276e-47,1.103361653584286e-46,2.3945191221878595e-46,4.2484172828202314e-46,6.537074971443816e-46,1.5372283960262824e-46
10.974987654930562,4.1295523653011227e-47,8.498899294342161e-47,1.8468632533393073e-46,3.2812056679909163e-46,5.0318297753870396e-46,1.177950567090409e-46
11.497569953977358,3.251079348286539e-47,6.670323337980782e-47,1.4508197282963004e-46,2.5799659977134973e-46,3.945066065857686e-46,9.250951234543034e-47
12.045035402587825,2.605880315037828e-47,5.329532481701866e-47,1.1598122064532293e-46,2.0635812496249385e-46,3.1477849849180538e-46,7.435704499076822e-47
12.618568830660204,2.1246079374977e-47,4.3311974367555415e-47,9.427371845132348e-47,1.6776796786812064e-46,2.5539644733999223e-46,6.108576305786451e-47
13.219411484660286,1.760336553229899e-47,3.577026089109221e-47,7.784945348095663e-47,1.3852533650345395e-46,2.1053302556808e-46,5.1220731989051195e-47
13.84886371393873,1.4808133536682603e-47,2.999508587194149e-47,6.525528583995877e-47,1.1607398666287669e-46,1.76180473813376e-46,4.377691973566088e-47
14.508287784959395,1.263536462461224e-47,2.551588313829114e-47,5.547588653729549e-47,9.862316232834192e-47,1.4954229853212328e-46,3.80841272622783e-47
15.199110829529339,1.0925799145909058e-47,2.1999976123699947e-47,4.779191817838936e-47,8.490125334949471e-47,1.2863988409664615e-46,3.3678128465095044e-47
15.922827933410924,9.565149374833789e-48,1.9208946283713237e-47,4.168689581143171e-47,7.399344575979302e-47,1.1205445127540574e-46,3.0231714007608996e-47
16.68100537200059,8.470295196701745e-48,1.696966306783773e-47,3.6785169849182417e-47,6.523327680197517e-47,9.875544385184293e-47,2.7510229752439943e-47
17.47528400007684,7.579991443365852e-48,1.5154787778513736e-47,3.281008210312409e-47,5.812925369627903e-47,8.798487279132768e-47,2.5342417180142233e-47
18.307382802953676,6.848530573068895e-48,1.366948264907364e-47,2.9555372706363165e-47,5.231457827962879e-47,7.917837477247128e-47,2.3600976460486056e-47
19.179102616724887,6.241367153107947e-48,1.2442237695988498e-47,2.6865403287233246e-47,4.751228940774847e-47,7.191067038067689e-47,2.218941081830137e-47
20.09233002565047,5.7320622301445e-48,1.1418466108588246e-47,2.4621321525798297e-47,4.3510822226023726e-47,6.585744647339457e-47,2.103300166348015e-47
21.049041445120206,5.300962466129565e-48,1.0557423357128175e-47,2.273423259295628e-47,4.0151417360346226e-47,6.077600936908569e-47,2.0077395968909536e-47
22.051307399030456,4.9349144781176177e-48,9.831142408383298e-48,2.114261623305053e-47,3.7322759632641703e-47,5.649734913110347e-47,1.929249531627478e-47
23.101297000831604,4.623724392178185e-48,9.217936502440745e-48,1.9798690484157786e-47,3.4938258866650937e-47,5.289022805079841e-47,1.8656349079880558e-47
24.201282647943824,4.359111639336201e-48,8.700313624307026e-48,1.8663940461390893e-47,3.2928259709027893e-47,4.984908208117551e-47,1.8151164682781626e-47
